,Unnamed: 0,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_vaccinated_1,cum_vaccinated_2,cum_vaccinated_3,cum_vaccinated_4,cum_vaccinated_5,cum_vaccinated_6,quar_period,pop_size,pop_infected,location,interventions,n_days,pop_type,use_waning
82,22,95.0,131.0,152.0,160.0,160.0,161.0,0.0,55.0,91.0,101.0,102.0,102.0,0.0,1.0,5.0,6.0,7.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,49107.0,49107.0,49107.0,49107.0,49107.0,49107.0,14,49107.12097131943,95.66269966418884,UK,pfizer,35,hybrid,True
699,9,99.0,134.0,169.0,175.0,176.0,177.0,0.0,63.0,92.0,105.0,107.0,108.0,0.0,0.0,6.0,8.0,8.0,8.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,38754.0,48410.0,48411.0,48411.0,48411.0,48411.0,14,48411.57521259557,99.12324426118992,France,moderna,35,hybrid,True
581,11,102.0,138.0,180.0,197.0,201.0,205.0,0.0,71.0,101.0,111.0,123.0,126.0,0.0,1.0,3.0,6.0,8.0,8.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,48298.0,48298.0,48298.0,48298.0,48298.0,48298.0,14,48298.11445016439,102.55462969194696,UK,moderna,35,hybrid,True
943,13,96.0,169.0,280.0,408.0,498.0,575.0,0.0,67.0,140.0,222.0,290.0,344.0,0.0,1.0,7.0,14.0,26.0,31.0,0.0,0.0,3.0,5.0,9.0,15.0,0.0,0.0,0.0,0.0,4.0,6.0,40291.0,50442.0,50442.0,50442.0,50442.0,50442.0,14,50442.4308296262,96.99902118460956,France,az,35,hybrid,True
204,24,88.0,119.0,144.0,149.0,149.0,149.0,0.0,47.0,82.0,88.0,91.0,91.0,0.0,1.0,4.0,6.0,7.0,7.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,52144.0,52144.0,52144.0,52144.0,52144.0,52144.0,14,52144.95033726947,88.71070835884908,UK,pfizer,35,hybrid,True
491,11,100.0,134.0,161.0,173.0,178.0,178.0,0.0,75.0,107.0,119.0,124.0,124.0,0.0,1.0,7.0,11.0,12.0,13.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,49904.0,49904.0,49904.0,49904.0,49904.0,49904.0,14,49904.16105332114,100.79498831914596,Japan,moderna,35,hybrid,True
1469,29,94.0,178.0,325.0,509.0,674.0,755.0,0.0,54.0,127.0,224.0,326.0,414.0,0.0,1.0,5.0,17.0,26.0,35.0,0.0,0.0,2.0,8.0,12.0,19.0,0.0,0.0,0.0,0.0,1.0,3.0,40581.0,50904.0,50904.0,50904.0,50904.0,50904.0,14,50904.87934731831,94.66760154710592,France,az,35,hybrid,True
213,3,99.0,133.0,165.0,182.0,189.0,192.0,0.0,67.0,93.0,113.0,120.0,124.0,0.0,3.0,12.0,14.0,15.0,15.0,0.0,2.0,4.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,49309.0,49309.0,49309.0,49309.0,49309.0,49309.0,14,49309.362333392106,99.5424935567896,UK,moderna,35,hybrid,True
386,26,98.0,220.0,531.0,1147.0,2571.0,5441.0,0.0,59.0,180.0,441.0,968.0,2078.0,0.0,2.0,10.0,23.0,49.0,108.0,0.0,0.0,1.0,5.0,11.0,32.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,14,51074.20002609812,98.47468271854748,France,none,35,hybrid,True
17,17,105.0,155.0,201.0,225.0,236.0,237.0,0.0,64.0,119.0,143.0,152.0,155.0,0.0,0.0,2.0,5.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24471.0,48556.0,48739.0,48739.0,48739.0,48739.0,14,48739.63476718004,105.75946387602237,China,moderna,35,hybrid,True
